,Game,Players,Hours,Percent Play,Rank,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
115,Akaneiro Demon Hunters,1.0,0.4,8.81057268722467e-05,22217.0,Role-Playing,,PC,Spicy Horse,Spicy Horse,,,,,,,,,2013.0
118,Alan Wake,88.0,1045.0000000000005,0.007753303964757709,1148.0,Action,,PC,Remedy Entertainment,Remedy Entertainment,,,1.8,,,,,,2012.0
119,Alan Wake's American Nightmare,24.0,82.59999999999998,0.0021145374449339205,4409.0,Misc,,PC,Remedy Entertainment,Unknown,,,0.52,,,,,,2012.0
121,Alchemy Mysteries Prague Legends,5.0,19.9,0.0004405286343612335,11784.0,Puzzle,,PC,Jetdogs Studios,Jetdogs Studios,,,0.11,,,,,,2014.0
123,Alganon,1.0,0.5,8.81057268722467e-05,22306.0,Role-Playing,,PC,Unknown,Quest Online,,,,,,,,,2010.0
124,Alice Madness Returns,27.0,221.70000000000005,0.002378854625550661,11611.0,Adventure,M,PC,Electronic Arts,Spicy Horse,6.7,,,0.12,,0.1,,0.01,2011.0
125,Alien Breed 2 Assault,7.0,36.0,0.0006167400881057269,10054.0,Shooter,T,PC,Team17 Software,Team17 Software,,,0.16,,,,,,2010.0
126,Alien Breed 3 Descent,3.0,27.2,0.00026431718061674007,22339.0,Shooter,T,PC,Team17 Software,Team17 Software,6.8,,,,,,,,2010.0
127,Alien Breed Impact,5.0,42.9,0.0004405286343612335,8812.0,Shooter,T,PC,Team17 Software,Team17 Software,,,0.2,,,,,,2010.0
128,Alien Isolation,31.0,359.00000000000006,0.0027312775330396474,10514.0,Adventure,M,PC,Sega,Creative Assembly,,,,0.14,,0.14,,0.01,2014.0
130,Alien Shooter Revisited,1.0,0.1,8.81057268722467e-05,22373.0,Shooter,,PC,Sigma,Sigma Team,,,,,,,,,2009.0
